차량번호,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,제시번호,차량모델,제조사,가격
360라2891,18년06월(18년형),"41,194",LPG,오토,7.1,대형,"2,999",진주색,없음,없음,없음,2020264993,올 뉴 K73.0 LPI 렌터카 프레스티지 ,기아,"1,590만원"
338우5327,16년01월(16년형),"106,793",가솔린,오토,정보없음,경차,998,흰색,없음,없음,없음,2021005745,레이1.0 가솔린 디럭스,기아,499만원
113더2468,15년05월(15년형),"41,141",가솔린,CVT,16.8,경차,995,파랑색,없음,없음,없음,2021006041,쉐보레 스파크LT 기본형,한국GM,250만원
360라2844,14년01월(14년형),"76,459",LPG,오토,정보없음,중형,"1,999",흰색,없음,없음,없음,2020262618,쏘나타 더 브릴리언트LPI 모던 ,현대,530만원
45부7782,09년12월(10년형),"98,362",가솔린,오토,정보없음,준중형,"1,591",진주색,없음,없음,없음,2021017223,쏘울1.6 스마트 기본형,기아,260만원
364누2505,13년09월(14년형),"89,635",디젤,오토,13.8,SUV,"1,995",흰색,없음,없음,없음,2021016715,더 뉴 스포티지 R디젤 2WD 프레스티지 ,기아,920만원
45다1243,15년02월(15년형),"95,066",디젤,오토,정보없음,SUV,"1,461",진주색,없음,없음,없음,2021002690,QM3RE ,르노삼성,550만원
338우5318,12년04월(12년형),"144,280",LPG,오토,정보없음,대형,"2,999",흰색,없음,없음,없음,2021004854,그랜저HGLPG HG300 프라임,현대,860만원
125너3614,11년09월(12년형),"141,267",LPG,오토,정보없음,중형,"1,999",검정색,없음,없음,없음,2020260091,YF쏘나타LPI 프리미어(장애인용) ,현대,470만원
360라2838,16년02월(16년형),"21,049",가솔린,오토,13.7,준중형,"1,591",흰색,없음,없음,없음,2020262609,아반떼AD1.6 GDi 스타일 ,현대,770만원
360라2827,10년10월(11년형),"83,493",LPG,오토,정보없음,중형,"1,998",진주색,없음,없음,없음,2020262615,K52.0 LPI 디럭스,기아,399만원
64구6152,11년10월(12년형),"178,095",가솔린,오토,8.9,대형,"3,778",검정색,없음,없음,없음,2021012011,에쿠스(신형)VS380 프라임,현대,"1,150만원"
46버0591,16년07월(17년형),"131,649",가솔린,CVT,정보없음,경차,999,회색,없음,없음,없음,20211051774,더 넥스트 스파크LTZ C-TECH ,한국GM,480만원
73보6856,10년06월(10년형),"97,057",디젤,오토,정보없음,RV,"2,199",진주색,없음,없음,없음,2021011745,카니발 R그랜드카니발 GLX 기본형,기아,730만원
21부5112,18년07월(19년형),"11,750",가솔린,오토,15,경차,999,다크그레이,없음,없음,1 건,2021023757,더 뉴 스파크Premier 기본형,한국GM,850만원
10누5342,17년03월(17년형),"85,550",가솔린,오토,정보없음,대형,0,검정,없음,없음,없음,2021005569,EQ9003.8 GDI 럭셔리,제네시스,"3,740만원"
45소2759,10년09월(11년형),"157,179",가솔린,CVT,정보없음,준중형,"1,598",흰색,없음,없음,없음,2021008577,뉴SM3RE 기본형,르노삼성,230만원
180도4964,16년05월(16년형),"35,702",디젤,오토,정보없음,대형,"2,199",회색,없음,없음,없음,20211005746,올 뉴 K72.2 디젤 프레스티지 ,기아,"1,950만원"
18모4263,13년01월(12년형),"134,107",가솔린,오토,정보없음,중형,1,검정색,없음,없음,없음,20211057215,뉴SM5 플래티넘PE ,르노삼성,460만원
56우9585,11년06월(11년형),"168,826",가솔린,오토,정보없음,대형,"2,999",회색,없음,없음,없음,20211056167,그랜저HGHG300 로얄,현대,680만원
13모9087,11년01월(11년형),"83,000",가솔린,오토,정보없음,대형,0,흰색,정보없음,없음,없음,211044104,SM7 뉴아트LE ,르노삼성,570만원
305수1518,17년01월(17년형),"103,971",디젤,오토,정보없음,SUV,"1,995",검정색,없음,없음,없음,20211048047,올 뉴쏘렌토디젤 2.0 2WD 프레스티지,기아,"1,660만원"
02고9654,18년04월(19년형),"87,632",디젤,오토,11.3,RV,"2,199",흰색,없음,없음,없음,20211065225,더 뉴 카니발7인승 2.2 디젤 리무진 프레지던트,기아,"2,950만원"
185수1776,17년01월(17년형),"51,759",LPG,오토,정보없음,대형,"2,999",검정색,없음,없음,없음,20211057346,올 뉴 K73.0 LPI 렌터카 럭셔리 ,기아,"1,700만원"
148마7565,17년04월(17년형),"40,274",가솔린,오토,정보없음,대형,"3,778",검정색,없음,없음,없음,20211058475,EQ9003.8 GDI AWD 럭셔리,제네시스,"4,450만원"
162도2448,15년02월(16년형),"54,069",가솔린,오토,정보없음,경차,998,진주색,없음,없음,없음,2021028507,더 뉴 모닝럭셔리 ,기아,450만원
31다3481,04년04월(04년형),"217,954",디젤,오토,정보없음,RV,"1,991",은색,없음,없음,없음,2021016936,트라제XG디젤 2.0 VGT GOLD 9인승 최고급형,현대,120만원
28서9449,15년07월(16년형),"85,778",가솔린,오토,11.3,대형,"2,359",은색,없음,없음,없음,2021021902,그랜저HGHG240 모던,현대,"1,490만원"
271수5684,17년04월(17년형),"65,682",가솔린,오토,16,경차,998,검정색,없음,없음,없음,2021022402,올 뉴 모닝(JA)럭셔리 ,기아,850만원
